ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Your name,What is the date and time of collection?,Where are you recording the point?,"Are there no crops (fallow or pasture), one crop, or multiple crops growing in the field?",Which crop(s) are present in the field?,Other - Which crop(s) are present in the field?,"[OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?","Other - [OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?",[OPTIONAL] Additional notes,x,y
229,c3951e6b-a0a0-42d8-9a6a-cc41a1edc51e,2/25/2023 20:36,,2/25/2023 20:36,,Sean,,Inside the field,Multiple crops,tropical_fruits,,,,,-156.3026818,20.91271695
230,8eaf1705-ba6f-4b10-bc91-5df79096e0db,2/25/2023 20:37,,2/25/2023 20:37,,Sean,,Inside the field,Pasture,,,,,,-156.3025303,20.9129889
231,eb0e1536-bf14-4bce-8683-76d0a22c0c0e,2/25/2023 20:37,,2/25/2023 20:37,,Brigette Tomas,,Inside the field,Multiple crops,tropical_fruits,,,,"Mango
mangosteen
mabalo
heart of palm",-156.3035765,20.91378601
232,492c4333-974f-47b5-a85c-73879148e87b,2/25/2023 20:37,,2/25/2023 20:37,,Sean,,On the edge of the field,Fallow,,,,,,-156.3025063,20.91328102
233,caa79cbf-ce96-42b2-b181-7ca1d446e37d,2/25/2023 20:37,,2/25/2023 20:37,,Sean,,Inside the field,One crop,tropical_fruits,,,,,-156.3026543,20.91351287
234,486322d0-976c-4d6b-8b3b-21395cede3ea,2/25/2023 20:37,,2/25/2023 20:37,,Sean,,Inside the field,One crop,tropical_fruits,,,,,-156.3027307,20.91394097
235,6fd52f8f-2fbc-4aab-b2b1-37b7f850960b,2/25/2023 20:37,,2/25/2023 20:37,,Sean,,Inside the field,One crop,tropical_fruits,,,,Mango,-156.3036579,20.91373448
236,b9e866e0-a777-4e5a-aa2c-af20396a67cc,2/25/2023 20:37,,2/25/2023 20:37,,Sean,,Inside the field,One crop,tropical_fruits,,,,Star apple,-156.3035203,20.91406167
237,991dadcf-9dd8-4e9a-96cc-b89eccd382b3,2/25/2023 20:37,,2/25/2023 20:37,,Brigette Tomas,,Inside the field,Multiple crops,tropical_fruits,,,,"Lemon drop mangosteen
fallow",-156.3037471,20.91465598
238,0ff94668-4b64-4e84-bb93-0ce46ff5a730,2/25/2023 20:38,,2/25/2023 20:38,,Sean,,On the edge of the field,One crop,tropical_fruits,,,,,-156.3037458,20.91464855
239,3ad0e2b5-fc97-47a9-bc92-3fac559e50ba,2/25/2023 20:38,,2/25/2023 20:38,,Sean,,Inside the field,Multiple crops,tropical_fruits,,,,,-156.3028882,20.91443403
240,82859098-9547-4255-bd77-a48babaabfbd,2/25/2023 20:38,,2/25/2023 20:38,,Sean,,Inside the field,One crop,tropical_fruits,,,,Durian,-156.3024307,20.91432094
241,f1956ec5-0588-4709-9097-4ffde4bae9c3,2/25/2023 20:38,,2/25/2023 20:38,,Sean,,Inside the field,Multiple crops,"coffee,tropical_fruits",,,,,-156.3027101,20.91418375
242,60536bdf-92ba-4ce3-9a63-944abc44c5cc,2/25/2023 20:38,,2/25/2023 20:38,,Sean,,On the edge of the field,Multiple crops,"avocado,tropical_fruits",,,,,-156.3022029,20.9134963
243,6fa2d14c-3a7b-4a26-96c0-7263b12a3c53,2/25/2023 20:38,,2/25/2023 20:38,,Brigette Tomas,,Inside the field,Multiple crops,tropical_fruits,,,,"Lychee
citrus",-156.3028987,20.9144746
244,dc0e20a4-f6ab-4fd2-b947-04795c37afed,2/25/2023 20:39,,2/25/2023 20:39,,Brigette Tomas,,Inside the field,Multiple crops,tropical_fruits,,,,"Mountian apple
Abeyu tree
Mangosteen",-156.3024875,20.9142762
245,b1903157-fc67-4f48-9b78-11724ee8d8d3,2/25/2023 20:43,,2/25/2023 20:43,,Paige Moffitt,,On the edge of the field,One crop,other,perrinneal peanut ,,,,-156.3023569,20.91209924
246,63ad8caf-ed17-47fe-9daf-d8cf4e87bb94,2/25/2023 20:59,,2/25/2023 20:59,,Rohan Fahland,,On the edge of the field,Fallow,,,,,Edge covered by trees,-156.3026206,20.91397248
247,853eda44-fc49-47cc-a76b-e2598658a35c,2/25/2023 20:59,,2/25/2023 20:59,,Rohan Fahland ,,On the edge of the field,Fallow,,,,,,-156.302208,20.91344574
248,66ba6f03-d9fb-4c07-8bae-134dd7f8fce8,2/26/2023 0:55,,2/26/2023 0:55,,jerry isdale,,Inside the field,Multiple crops,"coffee,other,avocado","flowers - haliconia, kukui",coffee,,"maliko gulch: archeological site w petroglyphs, ruins etc",-156.3172915,20.87268962
249,5db958ca-70e0-4e66-8c07-436e03104b5d,2/26/2023 0:56,,2/26/2023 0:56,,Anna G.,,Inside the field,One crop,coffee,,,,"Rather than using the land solely to grow coffee, they use the entire environment and grow the coffee to coexist with other plants.",-156.3172348,20.87265248
250,eb64ab3c-01e9-4101-87aa-35acb94b759c,2/26/2023 0:57,,2/26/2023 0:57,,Brigette Tomas,,On the edge of the field,One crop,"coffee,other",,,,"Coffee grown on the cliff
Farm has coffee rust",-156.3172124,20.87266372
251,da8bbdb9-4db6-4e1d-baf0-4349d3395b7d,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,Inside the field,One crop,other,Green sapote,,,,-156.3026063,20.91395537
252,04a35fc5-46b1-4481-ba58-954f770afd51,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,Inside the field,Pasture,tropical_fruits,,,,Mango,-156.3035723,20.91377043
253,eb4ab638-535a-4448-bb62-251f5ffdba8e,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,Inside the field,Multiple crops,tropical_fruits,,,,"Mangosteen, heart of palms",-156.3035954,20.91409137
254,1111ab64-a44e-4e4e-a2c2-b31d9c0b0561,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,Inside the field,One crop,tropical_fruits,,,,Longan,-156.3035215,20.91477001
255,e2ddd487-7690-4900-a4b9-8286dd6c411a,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,Inside the field,One crop,tropical_fruits,,,,Lemon drop manhosteen,-156.3038015,20.91466248
256,111e87bc-d71e-422c-923f-2557f40d503e,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,Inside the field,One crop,tropical_fruits,,,,Lychee,-156.3029282,20.91445096
257,4700e887-523e-4418-b13b-4e9a133de16b,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,Inside the field,Multiple crops,coffee,,,,,-156.3025305,20.91420505
258,53487180-37b9-43cf-94cf-0ba66738c791,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,Inside the field,Multiple crops,"avocado,tropical_fruits",,,,,-156.3021869,20.91350428
259,f1eff534-5cb2-4f27-9c75-4273c8b65a9f,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,On the edge of the field,One crop,tropical_fruits,,,,Dragon fruit,-156.3024718,20.9129107
260,90a086bb-e288-4538-ae98-9b7d5e6e9aa4,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,On the edge of the field,Multiple crops,tropical_fruits,,,,,-156.3022561,20.9127939
261,f3f62cc8-bb3b-4224-99ef-92c71bf051c3,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,On the edge of the field,One crop,coffee,,,,,-156.3173703,20.87278838
262,06ad399a-f6a7-4795-8179-c367acbfeef1,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,Inside the field,One crop,coffee,,,,,-156.3172458,20.87261876
263,5f7c0016-536f-42c6-9400-3dd0ff5b3e3c,2/26/2023 1:54,,2/26/2023 1:54,,Mary Alleca,,On the edge of the field,One crop,kalo_(taro)_-_mala_(dryland),,,,,-156.316861,20.87209175
264,96a513b0-24a3-4fa8-9211-995730873f6d,2/27/2023 7:38,,2/27/2023 7:38,,Carter Rosenthal,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),other,tropical_fruits",Pumpkin,,,"Lychee, pumpkin, mango, Kali are grown in this field. Parennial peanut is used for Nitrogen Fixing.",-156.3019561,20.91239044
265,9b172374-2977-4bf6-ad6a-de197c969dd5,2/27/2023 7:38,,2/27/2023 7:38,,Carter Rosenthal,,On the edge of the field,Multiple crops,"avocado,tropical_fruits",,avocado,,"Younger trees, majority of smaller trees planted around April 2022",-156.302244,20.91277487
266,41025970-cd24-4fb6-af68-e8e9ba0826b2,2/27/2023 7:38,,2/27/2023 7:38,,Carter Rosenthal,,On the edge of the field,One crop,other,Dragon Fruit,,,10 varieties of Dragon Fruit. They are cross pollinated and self-pollinated by the farmer.,-156.3024661,20.9128548
267,08b990da-b01c-4fc2-8b26-28537a6d68ea,2/27/2023 7:38,,2/27/2023 7:38,,Carter Rosenthal,,On the edge of the field,One crop,other,Heart of Palm,,,"Glaracidia is used as a Nitrogen Fixing plant here. These trees are roughly 5-8 years old. They do not cut them down until after the tree reproduces; however, pigs in the area eat the young trees before they can grow, so these ones have not been cut down yet. Pigs are a problem here preventing sustainable reproduction",-156.3025637,20.91324707
268,f0aaf03d-6bca-4de2-85a6-9f8483f745bb,2/27/2023 7:41,,2/27/2023 7:41,,Carter Rosenthal,,Inside the field,One crop,other,Sapote,,,,-156.3026864,20.91393345
269,a5e237f2-dac8-4e41-8e7b-1ab94dc0dbbe,2/27/2023 7:41,,2/27/2023 7:41,,Carter Rosenthal,,On the edge of the field,One crop,other,Mabolo,,,,-156.3034916,20.91384811
270,df9655b4-b4c8-443e-9f21-c1965f4a5ca3,2/27/2023 7:42,,2/27/2023 7:42,,Carter Rosenthal,,Inside the field,One crop,other,Longan,,,,-156.3035892,20.9148084
271,a50b9b09-487b-41b3-8748-8666ac28154f,2/27/2023 7:42,,2/27/2023 7:42,,Carter Rosenthal,,On the edge of the field,One crop,tropical_fruits,,,,Imperial and Kaimana Lychee,-156.3029351,20.91450949
272,da5b8aaf-5104-48f1-a7b5-6be6a2182d1f,2/27/2023 7:42,,2/27/2023 7:42,,Carter Rosenthal,,On the edge of the field,One crop,other,Bees/beehive,,,,-156.3020627,20.91357523
273,db9f3b5d-8be9-4cdc-8a76-e9fe51845493,2/27/2023 7:42,,2/27/2023 7:42,,Carter Rosenthal,,Inside the field,One crop,other,Star Apple,,,,-156.3035642,20.91404644
274,f58f2ee7-83c7-43f4-b0fc-be05892148dd,2/27/2023 18:59,,2/27/2023 18:59,,Ivan Zvonkov,,On the edge of the field,One crop,kalo_(taro),,,,,-156.1370244,20.84122274
275,0dbb05f0-26a4-4bab-a922-fe9132bf3687,2/27/2023 19:00,,2/27/2023 19:00,,Ivan Zvonkov,,Inside the field,One crop,macadamia_nut,,,,,-157.0487771,21.16623534
276,b9d08727-194a-439c-a817-391563fbff33,2/27/2023 19:00,,2/27/2023 19:00,,Ivan Zvonkov,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,"Mango trees, black plastic in soil",-157.0476221,21.16647267
277,4f5a0312-1da3-4807-b3e7-67387f4b5e6e,3/7/2023 1:36,,3/7/2023 1:36,,Hershey,,On the edge of the field,Multiple crops,"vegetables_(e.g._leafy_greens_c,kalo_(taro)_-_mala_(dryland)",,other,Eggplant,"— ALL Natural and organic
— CULTIVATED LAND
— No usage of fertilizers and pesticides 
— Deer fence 
— Poultry: Chickens
— Clippings on plants
— Vegetables like chili, bitter melon, tomatoes lime, lemon, etc.",-156.9251326,20.82741224
278,d47cf5f8-5bad-43c0-b427-1967688ff113,3/8/2023 22:30,,3/8/2023 22:30,,paige moffitt ,,Inside the field,Multiple crops,"`ulu_(breadfruit),avocado",,,,"citrus 
new baby trees",-156.3023826,20.91285575
279,f5f03a56-8b82-4a3d-8e09-4bbf256307a4,3/8/2023 22:31,,3/8/2023 22:31,,paige moffitt ,,Inside the field,One crop,other,dragonfruit ,,,,-156.3024787,20.91282387
280,13b52aaf-1d6e-4e76-bf82-a0f68303db1a,3/8/2023 22:31,,3/8/2023 22:31,,paige moffitt ,,Inside the field,Multiple crops,other,heart of palm,,,alternating peach palm mangosteen,-156.3025659,20.91327207
281,267d4e45-8007-4b5e-83f1-050d870f712d,3/8/2023 22:31,,3/8/2023 22:31,,paige moffitt,,Inside the field,One crop,other,jackfruit,,,,-156.3026713,20.91357556
282,2fb624ff-140d-4d43-aaf0-627f27fddb1e,3/8/2023 22:31,,3/8/2023 22:31,,paige moffitt,,Inside the field,One crop,other,green sapote,,,,-156.3026567,20.91396933
283,dca5344a-c8c5-4293-b6d5-734aa993757c,3/8/2023 22:31,,3/8/2023 22:31,,paige moffitt,,Inside the field,One crop,other,longon,,,,-156.3036335,20.91479291
284,11b8f9a0-419b-4ffa-8607-1c77c9e6a71c,3/8/2023 22:31,,3/8/2023 22:31,,paige moffitt,,On the edge of the field,Home garden or irregular,other,bees,,,,-156.3020422,20.91362806
285,a60410a5-94dd-4a85-90bb-b052cc3afd39,3/8/2023 22:32,,3/8/2023 22:32,,paige moffitt,,Inside the field,One crop,coffee,,,,,-156.31739,20.87275147
286,1f036baf-0c59-43b7-9cea-37f75752f27e,3/8/2023 22:32,,3/8/2023 22:32,,paige moffitt ,,Inside the field,Multiple crops,"pineapple,coffee",,,,,-156.3172143,20.87260904
287,74582a9a-7b19-400e-b38b-6f13ef504ab2,3/8/2023 22:32,,3/8/2023 22:32,,paige moffitt,,Inside the field,One crop,coffee,,,,,-156.3168049,20.87199598
288,7c9c4158-14b3-42da-b339-d1d481ed4bf1,3/8/2023 22:32,,3/8/2023 22:32,,paige moffitt ,,On the edge of the field,One crop,coffee,,,,,-156.3164673,20.87161006
289,93ec69af-2b7c-4da4-a036-bfdee6b9c64c,3/11/2023 22:06,,3/11/2023 22:06,,jerry isdals,,Inside the field,Multiple crops,"kalo_(taro)_-_loʻi_(wetland),`ulu_(breadfruit),coffee,tropical_fruits,sugarcane,vegetables_(e.g._leafy_greens_c,other",,,,,-156.2410354,20.91421558
290,c6a87c10-ff16-416c-b217-a8010f7ddf39,3/11/2023 22:06,,3/11/2023 22:06,,jerry,,Inside the field,Multiple crops,"kalo_(taro)_-_loʻi_(wetland),`ulu_(breadfruit),niu_(coconut),other",cashew,,,,-156.241285,20.91427629
291,936620bd-97ea-4636-9668-eafea409c477,3/11/2023 22:07,,3/11/2023 22:07,,jerty,,Inside the field,Multiple crops,"`ulu_(breadfruit),avocado,other,tropical_fruits,niu_(coconut),mai`a_(banana),kalo_(taro)_-_loʻi_(wetland)",pomeegranate cashew etc,,,"pomegranate
",-156.2403704,20.91480184
292,609185de-45c6-4d49-9094-d5d42164a4ba,3/11/2023 22:44,,3/11/2023 22:44,,Jeffrey ,,Inside the field,One crop,other,Blood orange ,,,Single plant ,-156.2410303,20.91429749
293,e7980b66-e885-4b80-bddb-a5f50e4b2f41,3/11/2023 22:45,,3/11/2023 22:45,,Jeffrey,,Inside the field,Multiple crops,other,Cashew ,other,Papaya tree,Mixed crops,-156.2412074,20.91435291
294,89eea58f-156e-4410-a6f6-3f0f689418d6,3/11/2023 22:45,,3/11/2023 22:45,,Jeffrey,,Inside the field,One crop,`ulu_(breadfruit),,,,Few trees ,-156.241357,20.91442549
295,c2570682-33f6-4a95-9e61-6f58027ce80b,3/11/2023 22:46,,3/11/2023 22:46,,Jeffrey,,Inside the field,One crop,other,Caco tree,,,6 Caco trees in a row,-156.2410572,20.91467216
296,15d7e97a-20e9-40cb-a976-971a3a490f52,3/11/2023 22:46,,3/11/2023 22:46,,Jeffrey,,Inside the field,One crop,avocado,,,,,-156.2403836,20.91499666
297,2f342a32-bd82-4cbb-bcbd-fa11d96ce31c,3/11/2023 22:46,,3/11/2023 22:46,,Jeffrey ,,Inside the field,One crop,vegetables_(e.g._leafy_greens_c,,,,False Ava ,-156.2407302,20.91433719
298,384e7b96-9500-491d-953d-1b636cf81548,3/11/2023 22:48,,3/11/2023 22:48,,Jeffrey,,Inside the field,One crop,other,Coffee tree,,,Row of 5,-156.2407416,20.9138962
299,d9464d97-d051-4a0d-b18d-e1c5028f7f9e,3/11/2023 22:48,,3/11/2023 22:48,,Jeffrey,,Inside the field,One crop,other,Caco tree,,,,-156.2405294,20.91373559
300,90abae3c-9021-4f51-9858-b18d0204948d,3/11/2023 22:48,,3/11/2023 22:48,,Jeffrwy,,Inside the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana)",,,,,-156.2404442,20.91355697
301,bf9bc8b2-95bf-4b94-adb0-c6d979eed8ce,3/11/2023 22:48,,3/11/2023 22:48,,Jeffrey,,Inside the field,One crop,other,Elder flower ,,,,-156.2407192,20.91359884
302,8c86de2a-4d3b-48c1-93e8-fb05090283e7,3/11/2023 22:49,,3/11/2023 22:49,,Jeffrey ,,Inside the field,Pasture,,,,,Chicken pasture ,-156.2406837,20.9137139
303,d790cfb8-47a6-4dae-94cb-ee2ff1403e14,3/12/2023 0:47,,3/12/2023 0:47,,Brigette Tomas,,On the edge of the field,Home garden or irregular,coffee,,,,,-156.2411905,20.9145194
304,17dcab8d-e939-4d24-bcf1-fae826fa57ff,3/12/2023 0:48,,3/12/2023 0:48,,Brigette Tomas,,Inside the field,One crop,other,Cocoa Tree,,,,-156.2410687,20.9146661
305,97059e77-f0e8-4cd2-8cfb-5ca544a9ea42,3/12/2023 0:49,,3/12/2023 0:49,,Brigette Tomas,,Inside the field,One crop,other,Pohole,,,,-156.2407016,20.91485841
306,c6e295e5-7c14-43b3-9b37-fc8a0767838b,3/12/2023 0:51,,3/12/2023 0:51,,Brigette Tomas,,On the edge of the field,Multiple crops,other,Pomegranate and Avocado,,,,-156.2403507,20.91488715
307,a3277f40-d523-4f8b-a926-bba82628a514,3/12/2023 0:52,,3/12/2023 0:52,,Brigette Tomas,,Inside the field,One crop,other,False Ava ,,,,-156.2406972,20.91432025
308,57ff1b7d-9648-41f1-9e1b-521266b033b2,3/12/2023 0:53,,3/12/2023 0:53,,Brigette Tomas,,Inside the field,Multiple crops,other,"Abiyu, Jackfruit, Coffee",,,Coffee Rust on some ,-156.2407208,20.9138499
309,6768495d-9aec-4c08-9e92-bae1509583d1,3/12/2023 0:53,,3/12/2023 0:53,,Brigette Tomas,,Inside the field,One crop,coffee,,,,,-156.2405004,20.9136801
310,45bbbe7c-5239-40e2-ae2b-99a1c7212d09,3/16/2023 1:06,,3/16/2023 1:06,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,"other,vegetables_(e.g._leafy_greens_c","Fennel, Lettuces, cilantro, leak, ",,,,-156.2865303,20.81535604
311,21fea180-27dd-4ed5-8503-e5e4cec1c7ca,3/16/2023 1:07,,3/16/2023 1:07,,Carter Rosenthal,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,,-156.2866232,20.81532844
312,6aa00e49-d529-4e4e-bcd3-f86140773114,3/16/2023 1:08,,3/16/2023 1:08,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,,-156.2862877,20.81526013
313,e20230e8-22d9-4a69-8170-faa5fa1a02af,3/16/2023 1:12,,3/16/2023 1:12,,jerry,,On the edge of the field,Multiple crops,"other,kalo_(taro)_-_mala_(dryland)","pasture, roses, cilantro,lettuce, fennelgrass",,,"22+ acres, only 1.5 as row crop- greenhouses. rest is pasture; roughly 28 day rotation of salad mix",-156.2866557,20.81519423
314,7f9987da-b31a-4701-8843-9b60f7d0731d,3/16/2023 1:13,,3/16/2023 1:13,,jerry,,On the edge of the field,Multiple crops,other,leek carrot,,,,-156.2860551,20.8155227
315,35bc2672-3cb6-4d12-aeeb-2be66e915aa6,3/16/2023 1:20,,3/16/2023 1:20,,Charlotte Cabaccang ,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,"Uses used straws (from mushroom farm) for additional mulch. Grows parsnips, lettuce, celery, and other leafy greens on these patches.",-156.2861348,20.81569727
316,fdae565b-00a4-4217-b781-beb628eee79c,3/16/2023 1:24,,3/16/2023 1:24,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,"Growing lettuce, daikon radish, and leaks",-156.2862039,20.81591299
317,1a4d522b-6fcb-450d-b706-ec9e46ff7b33,3/16/2023 1:28,,3/16/2023 1:28,,Charlotte Cabaccang,,On the edge of the field,One crop,other,4 rows of leaks,,,Uses drip irrigation,-156.2863018,20.81608677
318,93fb399e-22f0-4415-91f3-68facdd54960,3/16/2023 1:30,,3/16/2023 1:30,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,Growing kale and rubarb,-156.2857404,20.81581495
319,60e08a4e-23ae-413b-897a-b980434415d2,3/16/2023 1:40,,3/16/2023 1:40,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,"vegetables_(e.g._leafy_greens_c,other",Include arugula and other leafy greens,,,Whole farm mostly uses a drip system and uses smaller plots.,-156.2858201,20.8154274
320,038e084e-6927-43d3-bcbe-17d24823865a,3/16/2023 2:24,,3/16/2023 2:24,,Joshua D Hinau-Nanod,,Inside the field,One crop,other,Lettuce ,,,Different varieties of head lettuce ,-156.2860842,20.81560982
321,7519b65b-1960-4838-a2de-ccd8cfe448a3,3/16/2023 2:24,,3/16/2023 2:24,,Joshua D Hinau-Nanod,,Inside the field,One crop,other,Potatoes ,,,,-156.286175,20.81580408
322,fb45086d-8d3d-46b2-bcad-b46a54e1dee9,3/16/2023 2:24,,3/16/2023 2:24,,Joshu D Hinau-Nanod,,Inside the field,One crop,other,Lettuces,,,Different verities of lettuce ,-156.2862241,20.8159069
323,cb52627b-3b81-43be-a925-0c8b365cfb8c,3/16/2023 2:26,,3/16/2023 2:26,,Joshua D Hinau-Nanod,,Inside the field,One crop,other,Green onions ,,,,-156.2861798,20.81586093
324,18166790-8ad1-4edd-b450-f0518c33cb96,3/16/2023 2:26,,3/16/2023 2:26,,Joshua D Hinau-Nanod,,Inside the field,One crop,other,Green Onions ,,,10 rows of green onions ,-156.2863397,20.816146
325,0357ac80-9d2d-4c5e-8ad3-8f47c5f42a4c,3/17/2023 1:04,,3/17/2023 1:04,,Geiv,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,not applicable,,,-156.9222236,20.81776046
326,f50786b7-c854-49e4-818a-32fd4b388a18,3/17/2023 5:33,,3/17/2023 5:33,,geiv,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,not applicable,,there’s eggplants growing ,-156.9222721,20.81774805
327,667f2714-c5fc-4e8a-92dd-845412bbc518,3/17/2023 5:33,,3/17/2023 5:33,,geiv,,On the edge of the field,Multiple crops,"other,vegetables_(e.g._leafy_greens_c,kalo_(taro)_-_mala_(dryland)","tumerick, eggplant, cassava, taro, sweet potato, cabbage, siote, dragon fruit, papaya, pumpkin, onions, carrots, ",other,cassava,"— Rocks
— Mang weeds
— Some trash around it
— Yeilding
— Irrigation
— Grower claimed it was a permaculture garden, doesn’t experience pests. ",-156.9222867,20.81771437
328,5cb28c4f-a063-4fff-88ad-a1681d92e059,3/17/2023 5:33,,3/17/2023 5:33,,Hershey Lei,,On the edge of the field,Multiple crops,other,"Tomatoes, green onions, (maybe)  pumpkin or squash",not applicable,,"— Well taken care of 
— Deer fence
— No pests
— Irrigated 
— Yeilding",-156.9222791,20.81767177
329,a3fec7dc-d911-4d0e-ae91-85e48f33b6ed,3/17/2023 5:34,,3/17/2023 5:34,,Hershey Lei,,On the edge of the field,Multiple crops,"other,kalo_(taro)_-_mala_(dryland)","green onions, tomatoes, leafy greens",not applicable,,"— Well taken care of
— Yeilding
— Deer fence 
— Irrigation",-156.9223525,20.81757411
330,d8820285-948f-4a02-b621-0f774ec21d78,3/17/2023 5:34,,3/17/2023 5:34,,Hershey Lei,,On the edge of the field,Multiple crops,other,Purple cabbage,other,Papaya,"— Fenced off 
— Irrigated
— Few weeds ",-156.9223577,20.81758962
331,e9d47c8c-3872-4d55-9ba1-0d0081c823a4,3/17/2023 10:14,,3/17/2023 10:14,,Miguel Nakao,,On the edge of the field,Home garden or irregular,"kalo_(taro)_-_mala_(dryland),other,vegetables_(e.g._leafy_greens_c",Tomato’s and cactus,,,Fenced off ,-156.9224618,20.81752853
332,9739f315-a83e-42c1-9572-9c774609abcb,3/17/2023 10:15,,3/17/2023 10:15,,Miguel Nakao,,On the edge of the field,Home garden or irregular,vegetables_(e.g._leafy_greens_c,,,,Irrigated with a hose and fenced off,-156.9225221,20.81752809
333,a3ed4a9a-8412-44f9-9f89-4a2d3cb8c721,3/17/2023 10:15,,3/17/2023 10:15,,Miguel Nakao,,On the edge of the field,Home garden or irregular,"vegetables_(e.g._leafy_greens_c,other","Ti Leaf, and cactus",,,Fenced off and irrigated with a hose,-156.9224858,20.81749019
334,efcccf96-91da-4a0f-a6f9-ac29778e90a3,3/19/2023 1:29,,3/19/2023 1:29,,Andrei,,Inside the field,Home garden or irregular,,,other,"Eggplant, string beans, bananas tomatoes, pepper, green onions, potatoes, papaya, dragon fruit, squash","Has access to irrigation, has fencing, dominant crop is eggplant 
Has problems with animals ",-156.9255088,20.83024343
335,02ca5735-ff83-44f2-9f99-6ea9113f9ce5,3/20/2023 18:48,,3/20/2023 18:48,,Hershey Lei,,Inside the field,Home garden or irregular,"other,mai`a_(banana)","lime tree, bay leaf, and gondori",,,"— Quite neglected
— No irrigation
— No yeilding
— Deer fence
— Used to be filled with vegetables (constantly)
— VERY rich in land
— Few things still growing",-156.9165768,20.81992741
336,7687769c-3eae-498e-93b9-fb40db2fa7ac,3/20/2023 19:41,,3/20/2023 19:41,,Hershey Lei,,On the edge of the field,Fallow,other,weeds and flowers,,,"— Unused land
— No plants growing
— trash",-156.9222337,20.8177333
337,a451d744-e2ae-4b11-9362-8eb2ec1c9432,3/20/2023 20:39,,3/20/2023 20:39,,Rennan,,On the edge of the field,Multiple crops,"vegetables_(e.g._leafy_greens_c,other,kalo_(taro)_-_mala_(dryland)",,,,,-156.922436,20.81759806
338,1fb271f1-78ab-4d1a-89a3-429cfb887eec,3/20/2023 20:40,,3/20/2023 20:40,,Rennan,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),vegetables_(e.g._leafy_greens_c",,,,,-156.9224319,20.81757029
339,1a636adb-0112-47c7-95f5-367809507f2b,3/22/2023 1:07,,3/22/2023 1:07,,Alexander ,,On the edge of the field,Multiple crops,"other,tropical_fruits,vegetables_(e.g._leafy_greens_c"," Tomatoes, eggplant, cabbage, ti leaves ",,,,-156.9221407,20.81747584
340,9b8f19e6-5c6e-419d-a45d-c2a98b13c34f,3/22/2023 1:08,,3/22/2023 1:08,,Makamae kadooka,,On the edge of the field,Home garden or irregular,,,other,"Malunggay, eggplant, green onion, pumpkin ",Decent amount of weeds ,-156.9222723,20.81735331
341,4ae1620b-39dc-485c-8a39-789b16c1c3a5,3/22/2023 1:09,,3/22/2023 1:09,,Alexander ,,On the edge of the field,One crop,tropical_fruits,,,,"Only one tree, lots of weeds ",-156.9221602,20.81753014
342,996e235f-60fa-4568-9866-a67a18487281,3/22/2023 1:10,,3/22/2023 1:10,,Makamae kadooka ,,On the edge of the field,Home garden or irregular,"tropical_fruits,vegetables_(e.g._leafy_greens_c",,,,,-156.9222744,20.81739835
343,189d7980-3e97-4e52-ae75-49bbd456c10c,3/22/2023 1:12,,3/22/2023 1:12,,Alexander ,,On the edge of the field,Multiple crops,"tropical_fruits,vegetables_(e.g._leafy_greens_c,other",Ti leaves ,,,,-156.9221312,20.81754955
344,574098c6-316a-41a1-a846-9c4a9ee2451f,3/22/2023 1:12,,3/22/2023 1:12,,Makamae kadooka,,On the edge of the field,Home garden or irregular,"vegetables_(e.g._leafy_greens_c,tropical_fruits,other","Cactus,malunggay, corn, pumpkin, eggplant",,,,-156.9222226,20.81746263
